Title,Description,Price,Rating,Reviews,URL
LG 21.5 inch Full HD IPS Panel Monitor (22MK600M),Panel Type: IPS Panel; Screen Resolution Type: Full HD; HDMI; Brightness: 250 nits; Response Time: 5 ms | Refresh Rate: 75 Hz; HDMI Ports - 2; 3 Years Manufacture Warranty,"₹6,999","1,226 Ratings",251 Reviews,https://www.flipkart.com/lg-21-5-inch-full-hd-ips-panel-monitor-22mk600m/p/itm297ef0f41b753?pid=MONFK842GG8RUHQQ&lid=LSTMONFK842GG8RUHQQW4GCES&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONFK842GG8RUHQQ.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
Acer 21.5 inch Full HD IPS Panel Monitor (HA220Q),Panel Type: IPS Panel; Screen Resolution Type: Full HD; VGA Support | HDMI; Inbuilt Speaker; Brightness: 250 nits; Response Time: 4 ms | Refresh Rate: 75 Hz; HDMI Ports - 1; 3 Years on Site,"₹7,299",693 Ratings,175 Reviews,https://www.flipkart.com/acer-21-5-inch-full-hd-ips-panel-monitor-ha220q/p/itmfdfdjxg7gdzpf?pid=MONFDFDJVFMGY9NV&lid=LSTMONFDFDJVFMGY9NVFJAI0R&marketplace=FLIPKART&srno=s_1_2&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONFDFDJVFMGY9NV.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
Lenovo 27 inch Full HD IPS Panel Monitor (D27-20),Panel Type: IPS Panel; Screen Resolution Type: Full HD; VGA Support | HDMI; Brightness: 250 nits; Response Time: 4 ms | Refresh Rate: 75 Hz; HDMI Ports - 1; 3 Years Manufacturer Warranty,"₹10,999",174 Ratings,21 Reviews,https://www.flipkart.com/lenovo-27-inch-full-hd-ips-panel-monitor-d27-20/p/itm24ef97026970b?pid=MONFNV4KCPVRNCQH&lid=LSTMONFNV4KCPVRNCQHCEIUJD&marketplace=FLIPKART&srno=s_1_3&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONFNV4KCPVRNCQH.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
BenQ 24 inch Full HD LED Backlit IPS Panel Monitor (GW2480),Panel Type: IPS Panel; Screen Resolution Type: Full HD; VGA Support | HDMI; Inbuilt Speaker; Brightness: 250 nits; Response Time: 5 ms | Refresh Rate: 60 Hz; HDMI Ports - 1; 3 Years Onsite Warranty,"₹9,399",771 Ratings,165 Reviews,https://www.flipkart.com/benq-24-inch-full-hd-led-backlit-ips-panel-monitor-gw2480/p/itm1f8ae136d52c5?pid=MONEXFVGGUFVUXZZ&lid=LSTMONEXFVGGUFVUXZZHTJ1GI&marketplace=FLIPKART&srno=s_1_4&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONEXFVGGUFVUXZZ.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
Acer 21.5 inch Full HD IPS Panel Monitor (ET221Q),Panel Type: IPS Panel; Screen Resolution Type: Full HD; Brightness: 250 nits; Response Time: 4 ms; 3 Years on Site,"₹6,499",152 Ratings,27 Reviews,https://www.flipkart.com/acer-21-5-inch-full-hd-ips-panel-monitor-et221q/p/itmfdrzuwfgyvfcg?pid=MONFDRZUYVVZEDHB&lid=LSTMONFDRZUYVVZEDHBYH3TQJ&marketplace=FLIPKART&srno=s_1_5&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONFDRZUYVVZEDHB.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
Dell 22 inch Full HD IPS Panel Monitor (SE2219HX),Panel Type: IPS Panel; Screen Resolution Type: Full HD; VGA Support | HDMI; Brightness: 250 nits; Response Time: 5 ms | Refresh Rate: 75 Hz; HDMI Ports - 1; 3 year onside warranty,"₹7,799",921 Ratings,157 Reviews,https://www.flipkart.com/dell-22-inch-full-hd-ips-panel-monitor-se2219hx/p/itmff6gzbemgqes4?pid=MONFF6F8KHGK8CZN&lid=LSTMONFF6F8KHGK8CZNH5QKBQ&marketplace=FLIPKART&srno=s_1_6&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONFF6F8KHGK8CZN.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
LG 22 inch Full HD LED Backlit IPS Panel Monitor (22MP68VQ),Panel Type: IPS Panel; Screen Resolution Type: Full HD; VGA Support | HDMI; Brightness: 250 nits; Response Time: 5 ms | Refresh Rate: 75 Hz; HDMI Ports - 1; 3 Years Onsite Warranty,"₹7,699","2,700 Ratings",598 Reviews,https://www.flipkart.com/lg-22-inch-full-hd-led-backlit-ips-panel-monitor-22mp68vq/p/itmety6nszghmbp4?pid=MONETY6MQUBYPSZC&lid=LSTMONETY6MQUBYPSZCQE1PSV&marketplace=FLIPKART&srno=s_1_7&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONETY6MQUBYPSZC.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
LG 23.8 inch Full HD LED Backlit IPS Panel Monitor (24MK430H),Panel Type: IPS Panel; Screen Resolution Type: Full HD; VGA Support | HDMI; Brightness: 250 nits; Response Time: 5 ms | Refresh Rate: 75 Hz; HDMI Ports - 1; 3 Years Warranty,"₹7,799",137 Ratings,21 Reviews,https://www.flipkart.com/lg-23-8-inch-full-hd-led-backlit-ips-panel-monitor-24mk430h/p/itm3cbff2de3e664?pid=MONFRQBUJCBVGF82&lid=LSTMONFRQBUJCBVGF82FNWREG&marketplace=FLIPKART&srno=s_1_8&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONFRQBUJCBVGF82.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
Dell 23.8 inch Full HD LED Backlit IPS Panel Monitor (P2419H),Panel Type: IPS Panel; Screen Resolution Type: Full HD; VGA Support | HDMI; Brightness: 250 nits; Response Time: 8 ms; 36 Months manufacturer warranty,"₹11,999",83 Ratings,11 Reviews,https://www.flipkart.com/dell-23-8-inch-full-hd-led-backlit-ips-panel-monitor-p2419h/p/itmfe5azvwwgzwye?pid=MONFE57Y4F8H7WJ5&lid=LSTMONFE57Y4F8H7WJ5KPVE33&marketplace=FLIPKART&srno=s_1_9&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONFE57Y4F8H7WJ5.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
Acer 21.5 inch Full HD LED Backlit VA Panel Gaming Monitor (QG221Q),Panel Type: VA Panel; Screen Resolution Type: Full HD; HDMI; Brightness: 250 nits; Response Time: 1 ms | Refresh Rate: 75 Hz; HDMI Ports - 2; 3 Years Warranty,"₹6,799",476 Ratings,83 Reviews,https://www.flipkart.com/acer-21-5-inch-full-hd-led-backlit-va-panel-gaming-monitor-qg221q/p/itm56639f52f5934?pid=MONFKF9SHUAXGCQK&lid=LSTMONFKF9SHUAXGCQKH8ILLO&marketplace=FLIPKART&srno=s_1_10&otracker=search&fm=organic&iid=ceb86ece-7f2e-43ca-a852-a3817138cb71.MONFKF9SHUAXGCQK.SEARCH&ssid=2crv6qbpo00000001604940576824&qH=08b5411f848a2581
